West Virginia,37,Texas Tech,34
Western Michigan,42,Ball State,38
Wisconsin,38,Illinois,28
Louisiana-Lafayette,34,Texas State,10
Pittsburgh,21,Virginia Tech,16
Utah,29,Oregon State,23
Boise State,37,Fresno State,27
Houston,31,Temple,10
Air Force,35,New Mexico,31
Alabama,59,Texas A&M,0
Appalachian State,53,Troy,14
Arizona State,26,Stanford,10
Ball State,32,Central Michigan,29
Central Florida,20,Tulane,13
Cincinnati,41,Southern Methodist,3
Clemson,17,Boston College,13
Colorado State,16,Utah State,13
Duke,20,Virginia,13
Florida Atlantic,45,Western Kentucky,38
Florida State,31,Notre Dame,27
Georgia,45,Arkansas,32
Idaho,29,New Mexico State,17
Kansas State,31,Oklahoma,30
Kent State,39,Army,17
Louisiana State,41,Kentucky,3
Louisiana Tech,27,Texas-San Antonio,20
Louisville,30,North Carolina State,18
Marshall,45,Florida International,13
Maryland,38,Iowa,31
Massachusetts,36,Eastern Michigan,14
Michigan State,56,Indiana,17
Middle Tennessee State,34,Alabama-Birmingham,22
Minnesota,39,Purdue,38
Mississippi,34,Tennessee,3
Missouri,42,Florida,13
Nebraska,38,Northwestern,17
Nevada,42,Brigham Young,35
North Carolina,48,Georgia Tech,43
Northern Illinois,51,Miami (OH),41
Ohio,23,Akron,20
Ohio State,56,Rutgers,17
Oregon,45,Washington,20
San Diego State,20,Hawaii,10
San Jose State,27,Wyoming,20
South Alabama,30,Georgia State,27
South Carolina,41,Furman,10
South Florida,38,Tulsa,30
Southern California,56,Colorado,28
Southern Mississippi,30,North Texas,20
Syracuse,30,Wake Forest,7
Texas,48,Iowa State,45
Texas Christian,42,Oklahoma State,9
Texas Tech,34,Kansas,21
UCLA,36,California,34
West Virginia,41,Baylor,27
Western Michigan,26,Bowling Green State,14
Louisiana-Lafayette,55,Arkansas State,40
East Carolina,31,Connecticut,21
Miami (FL),30,Virginia Tech,6
Boise State,55,Brigham Young,30
Cincinnati,34,South Florida,17
Oregon,59,California,41
South Alabama,27,Troy,13
Alabama,34,Tennessee,20
Arizona,59,Washington State,37
Arizona State,24,Washington,10
Arkansas,45,Alabama-Birmingham,17
Auburn,42,South Carolina,35
Ball State,35,Akron,21
Boston College,23,Wake Forest,17
Central Florida,34,Temple,14
Central Michigan,20,Buffalo,14
Clemson,16,Syracuse,6
Colorado State,45,Wyoming,31
Georgia Southern,69,Georgia State,31
Georgia Tech,56,Pittsburgh,28
Illinois,28,Minnesota,24
Kansas State,23,Texas,0
Louisiana State,10,Mississippi,7
Louisiana Tech,31,Southern Mississippi,20
Marshall,35,Florida Atlantic,16
Memphis,48,Southern Methodist,10
Miami (OH),10,Kent State,3
Michigan State,35,Michigan,11
Mississippi State,45,Kentucky,31
Missouri,24,Vanderbilt,14
Navy,41,San Jose State,31
Nebraska,42,Rutgers,24
Nevada,26,Hawaii,18
North Carolina,28,Virginia,27
Northern Illinois,28,Eastern Michigan,17
Ohio State,31,Penn State,24
Rice,41,North Texas,21
Stanford,38,Oregon State,14
Texas Christian,82,Texas Tech,27
Texas State,22,Louisiana-Monroe,18
Texas-El Paso,34,Texas-San Antonio,0
Toledo,42,Massachusetts,35
UCLA,40,Colorado,37
Utah,24,Southern California,21
Utah State,34,Nevada-Las Vegas,20
West Virginia,34,Oklahoma State,10
Western Kentucky,66,Old Dominion,51
Western Michigan,42,Ohio,21
Wisconsin,52,Maryland,7
Florida State,42,Louisville,31
Georgia Southern,42,Troy,10
Cincinnati,38,Tulane,14
Memphis,40,Tulsa,20
Air Force,23,Army,6
Alabama-Birmingham,31,Florida Atlantic,28
Appalachian State,44,Georgia State,0
Arizona State,19,Utah,16
Arkansas State,44,Idaho,28
Auburn,35,Mississippi,31
Baylor,60,Kansas,14
Boston College,33,Virginia Tech,31
Brigham Young,27,Middle Tennessee State,7
California,45,Oregon State,31
Central Michigan,38,Eastern Michigan,7
Colorado State,38,San Jose State,31
Connecticut,37,Central Florida,29
Duke,51,Pittsburgh,48
Florida,38,Georgia,20
Georgia Tech,35,Virginia,10
Houston,27,South Florida,3
Iowa,48,Northwestern,7
Kansas State,48,Oklahoma State,14
Louisiana Tech,59,Western Kentucky,10
Louisiana-Lafayette,19,South Alabama,9
Maryland,20,Penn State,19
Miami (FL),47,North Carolina,20
Michigan,34,Indiana,10
Mississippi State,17,Arkansas,10
Missouri,20,Kentucky,10
Nebraska,35,Purdue,14
Nevada,30,San Diego State,14
New Mexico,31,Nevada-Las Vegas,28
North Carolina State,24,Syracuse,17
Notre Dame,49,Navy,39
